Node ID,Language,NUMBER_FOLLOWERS,Node Label,IS_VERIFIED,LOCATION,IS_NEWS_AGENCY,TWEET_COUNT
195587820,en,1544,shelleyshenton,0,Port Alberni,,1
859593090411134980,en,243,Macman421,0,,,13
1551964543,en,527,jusdrea_,0,The Go,,1
1601730790710206465,en,899,JanuaryDana,0,,,6
1457788651044278272,en,174,FrankTheTankUS,0,Pain,,1
884566298,en,4374,theleightons327,0,North Texas,,3
1399041838007439366,en,73,theresa_eonder,0,United States,,1
1506365060599398414,en,2121,SoFloSportsNews,0,South FL,,2
461202117,en,1965,WomenWhoDare,0,"Columbus, OH",,2
241902765,en,1665,stevenamcqueen,0,"Carmel, IN",,1
36669744,en,456,DrugsAreDope,0,"Detroit, MI",,1
2601830564,en,393,peterpen33,0,,,1
20269833,en,95908,TribLIVE,1,"Pittsburgh, Pa.",1,6
127257399,en,97,Gilmemss,0,,,2
1441061667345817608,en,1603,JamesMaclaren78,0,Dùn Dè,,2
1318519891146792960,en,347,Pepper11057555,0,Land of the free,,2
833724848912420865,en,917,LynneIhrig,0,United States,,4
200743464,en,390,Nimrod38,0,,,1
1301994739621859328,en,264,SwampyJoe11_SRQ,0,Sarasota FL,,1
1511909952952094722,en,0,ebrahim52407682,0,https://australia224.blogspot.,,1
1621320505,en,468,sarahtimmerman,0,DC,,2
1519249687043313668,en,27,skeetden,0,"North Carolina, USA",,1
1498015615881302016,en,478,ArthurC54762353,0,,,2
16813752,en,131054,Live5News,1,"Charleston, SC",1,2
1108035253212454912,en,54,axiostopstories,0,,,8
93183447,en,569,Fahribaba,0,the Earth,,1
1413124780505583616,en,802,MilkXtracookies,0,"Wappingers Falls, NY",,4
1209662549479829509,en,143,ShayKjdn,0,,,2
1026086149843034113,en,132,Happyda73176532,0,,,1
1552787256657809409,en,185,Jonny912804,0,"Horncastle, England",,2
273683993,en,3628,Blubdha,0,unceded territory Coast Salish xʷməθk'̓wəym (Musqueam) Skwxwu'́7mesh (Squamish) Stó:lō &   Sə'li'lwətaʔ/Səlilwittulh̓ (Tsleil- Waututh),,6
1589270710920388608,en,143,realjimten,0,Indiana,,1
1593587866759839746,en,26,SealToursTravel,0,,,23
946557196740960257,en,678,SnowHedrick,0,,,1
1542228578,en,371069,JDVance1,1,"Cincinnati, OH",,2
1482879613462360065,en,369,RealJonWick,0,,,5
63202029,en,3670,zaswadosaze,0,los angeles,,3
749307047422730240,en,885,CitizenFront,0,,,7
16000199,en,524,nofixedabode,0,Teegeeack,,2
1179567854179323904,en,591,stevejo13943275,0,Sydney Australia,,1
3239955086,en,6252,FrantizekPaul,0,"Undisclosed location, CONUS",,1
1246225888452268035,en,691,ToxicAv36338995,0,Flori-DUH! Where else?,,1
3067073102,en,136,Cyclone_Tom,0,,,1
373033271,en,7632,Wil_Johnson1,0,"Puget Sound, WA",,2
2338669452,en,176,dgrahrig,0,,,4
1315061178670948354,en,144,Ghost90111,0,"Memphis, TN",,1
24984509,en,209,ToddSStewart,0,"Jupiter, FL",,1
913049430,en,875,bethechange45,0,,,1
2591271560,en,100,hogehogecyonpe,0,,,1
1634317469086257152,en,8,jeffreydday,0,,,1
1594007812304248832,en,867,YaYaMagaQueen,0,,,3
1650738630,en,3376,JackiN503,0,"Georgia, USA",,2
1560037497714794496,en,990,BARBARAWISBEY1,0,,,3
134971995,en,10242,missb62,0,Colorado,,6
1320960119006502912,en,2852,2ndchancerance,0,"Ohio, USA",,1
144351126,en,1079,richielovall,0,EMEA,,1
96915355,en,1168,CarmillaLusta,0,wherever Darkness Falls,,1
1492840606896381955,en,3703,Annette65740700,0,"UK, US, EU// Headquarters GB",,2
3907366339,en,227,foxmonkey02,0,,,4
1281303947857113088,en,1481,VickiMo08056436,0,,,29
774628898491527168,en,20785,ProfessorNotMD,0,USA,,1
51241574,en,16051875,AP,1,Global,1,10
5409972,en,1058,Mandahl,0,Greenbelt MD,,5
42958829,en,403320,CBSEveningNews,1, 6:30 p.m. ET,1,9
6017542,en,9620555,BreakingNews,1,"NYC, LA, London",1,3
14427407,en,80147,WVTM13,1,"Birmingham, AL",1,5
19636948,en,2293507,CP24,1,Toronto,1,2
1489038880896606208,en,4385,Happykittyoffla,0,,,1
18050303,en,42848,LegInsurrection,0,,,1
800707492346925056,en,646119,axios,1,,1,13
3420170151,en,2563,BTCYN,0,NYC,,1
3065673289,en,1420,brianpia,0,"Hoover, Alabama",,5
1285975533227053057,en,284,RedCap38649128,0, FAFO,,1
1340705797,en,1589,DanaSchoonover1,0,,,1
